FEN,FEN + Next move,NL Format of FEN,NL Format of FEN + Next move
rnbqkb1r/p2p1p1p/7n/2p5/PPpPpp2/2N5/3BPKPP/R2Q1BNR w kq - 0 9,FEN state: rnbqkb1r/p2p1p1p/7n/2p5/PPpPpp2/2N5/3BPKPP/R2Q1BNR w kq - 0 9 ; Best moved2f4,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at a7, black pawn at d7, black pawn at f7 and black pawn at h7. Black knight at h6. Black pawn at c5. White pawn at a4, white pawn at b4, black pawn at c4, white pawn at d4, black pawn at e4 and black pawn at f4. White knight at c3. White bishop at d2, white pawn at e2, white king at f2, white pawn at g2 and white pawn at h2. White rook at a1, white queen at d1, white bishop at f1, white knight at g1 and white rook at h1. Black kingside and black queenside castles are available. Half move number is 0. Full move number is 9. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at a7, black pawn at d7, black pawn at f7 and black pawn at h7. Black knight at h6. Black pawn at c5. White pawn at a4, white pawn at b4, black pawn at c4, white pawn at d4, black pawn at e4 and black pawn at f4. White knight at c3. White bishop at d2, white pawn at e2, white king at f2, white pawn at g2 and white pawn at h2. White rook at a1, white queen at d1, white bishop at f1, white knight at g1 and white rook at h1. Black kingside and black queenside castles are available. Half move number is 0. Full move number is 9. White to move. ; Output: Move from d2 to f4."
1rbqkbr1/p1pp1npp/4pp2/1p6/1P5N/P1NnPP2/2PPK1PP/R1BQ1B1R w - - 2 13,FEN state: 1rbqkbr1/p1pp1npp/4pp2/1p6/1P5N/P1NnPP2/2PPK1PP/R1BQ1B1R w - - 2 13 ; Best movec2d3,"The current state of the chess board is: Black rook at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at g8. Black pawn at a7, black pawn at c7, black pawn at d7, black knight at f7, black pawn at g7 and black pawn at h7. Black pawn at e6 and black pawn at f6. Black pawn at b5. White pawn at b4 and white knight at h4. White pawn at a3, white knight at c3, black knight at d3, white pawn at e3 and white pawn at f3. White pawn at c2, white pawn at d2, white king at e2, white pawn at g2 and white pawn at h2. White rook at a1, white bishop at c1, white queen at d1, white bishop at f1 and white rook at h1. Both players have exhausted their castles. Half move number is 2. Full move number is 13. White to move.","Input: The current state of the chess board is: Black rook at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at g8. Black pawn at a7, black pawn at c7, black pawn at d7, black knight at f7, black pawn at g7 and black pawn at h7. Black pawn at e6 and black pawn at f6. Black pawn at b5. White pawn at b4 and white knight at h4. White pawn at a3, white knight at c3, black knight at d3, white pawn at e3 and white pawn at f3. White pawn at c2, white pawn at d2, white king at e2, white pawn at g2 and white pawn at h2. White rook at a1, white bishop at c1, white queen at d1, white bishop at f1 and white rook at h1. Both players have exhausted their castles. Half move number is 2. Full move number is 13. White to move. ; Output: Move from c2 to d3."
rn3b1r/p2k3q/b1p5/1NRpppp1/2P1P1pP/1P3P2/P2P2B1/RQn1K1N1 b Q - 0 24,FEN state: rn3b1r/p2k3q/b1p5/1NRpppp1/2P1P1pP/1P3P2/P2P2B1/RQn1K1N1 b Q - 0 24 ; Best movef8c5,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at f8 and black rook at h8. Black pawn at a7, black king at d7 and black queen at h7. Black bishop at a6 and black pawn at c6. White knight at b5, white rook at c5, black pawn at d5, black pawn at e5, black pawn at f5 and black pawn at g5. White pawn at c4, white pawn at e4, black pawn at g4 and white pawn at h4. White pawn at b3 and white pawn at f3. White pawn at a2, white pawn at d2 and white bishop at g2. White rook at a1, white queen at b1, black knight at c1, white king at e1 and white knight at g1. White queenside is the only castle move available. Half move number is 0. Full move number is 24. Black to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at f8 and black rook at h8. Black pawn at a7, black king at d7 and black queen at h7. Black bishop at a6 and black pawn at c6. White knight at b5, white rook at c5, black pawn at d5, black pawn at e5, black pawn at f5 and black pawn at g5. White pawn at c4, white pawn at e4, black pawn at g4 and white pawn at h4. White pawn at b3 and white pawn at f3. White pawn at a2, white pawn at d2 and white bishop at g2. White rook at a1, white queen at b1, black knight at c1, white king at e1 and white knight at g1. White queenside is the only castle move available. Half move number is 0. Full move number is 24. Black to move. ; Output: Move from f8 to c5."
r2qkbnr/1bpQp1p1/3p4/1p2p2p/p4PP1/2PP3P/PP2K3/RNB2BNR b kq - 0 12,FEN state: r2qkbnr/1bpQp1p1/3p4/1p2p2p/p4PP1/2PP3P/PP2K3/RNB2BNR b kq - 0 12 ; Best movee8d7,"The current state of the chess board is: Black rook at a8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black bishop at b7, black pawn at c7, white queen at d7, black pawn at e7 and black pawn at g7. Black pawn at d6. Black pawn at b5, black pawn at e5 and black pawn at h5. Black pawn at a4, white pawn at f4 and white pawn at g4. White pawn at c3, white pawn at d3 and white pawn at h3. White pawn at a2, white pawn at b2 and white king at e2. White rook at a1, white knight at b1, white bishop at c1, white bishop at f1, white knight at g1 and white rook at h1. Black kingside and black queenside castles are available. Half move number is 0. Full move number is 12. Black to move.","Input: The current state of the chess board is: Black rook at a8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black bishop at b7, black pawn at c7, white queen at d7, black pawn at e7 and black pawn at g7. Black pawn at d6. Black pawn at b5, black pawn at e5 and black pawn at h5. Black pawn at a4, white pawn at f4 and white pawn at g4. White pawn at c3, white pawn at d3 and white pawn at h3. White pawn at a2, white pawn at b2 and white king at e2. White rook at a1, white knight at b1, white bishop at c1, white bishop at f1, white knight at g1 and white rook at h1. Black kingside and black queenside castles are available. Half move number is 0. Full move number is 12. Black to move. ; Output: Move from e8 to d7."
rnb1r2b/pp1k3p/3qp3/3N1ppQ/P1p4n/3PBBP1/1P3P1P/R2K3R w - - 0 21,FEN state: rnb1r2b/pp1k3p/3qp3/3N1ppQ/P1p4n/3PBBP1/1P3P1P/R2K3R w - - 0 21 ; Best moveh5h7,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black rook at e8 and black bishop at h8. Black pawn at a7, black pawn at b7, black king at d7 and black pawn at h7. Black queen at d6 and black pawn at e6. White knight at d5, black pawn at f5, black pawn at g5 and white queen at h5. White pawn at a4, black pawn at c4 and black knight at h4. White pawn at d3, white bishop at e3, white bishop at f3 and white pawn at g3. White pawn at b2, white pawn at f2 and white pawn at h2. White rook at a1, white king at d1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 21. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black rook at e8 and black bishop at h8. Black pawn at a7, black pawn at b7, black king at d7 and black pawn at h7. Black queen at d6 and black pawn at e6. White knight at d5, black pawn at f5, black pawn at g5 and white queen at h5. White pawn at a4, black pawn at c4 and black knight at h4. White pawn at d3, white bishop at e3, white bishop at f3 and white pawn at g3. White pawn at b2, white pawn at f2 and white pawn at h2. White rook at a1, white king at d1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 21. White to move. ; Output: Move from h5 to h7."
1q2kb1r/1b4p1/rpnp1pNp/pnp5/2Pp1P1P/PP6/2Q1PKP1/RNB2BR1 w k - 1 23,FEN state: 1q2kb1r/1b4p1/rpnp1pNp/pnp5/2Pp1P1P/PP6/2Q1PKP1/RNB2BR1 w k - 1 23 ; Best movec4b5,"The current state of the chess board is: Black queen at b8, black king at e8, black bishop at f8 and black rook at h8. Black bishop at b7 and black pawn at g7. Black rook at a6, black pawn at b6, black knight at c6, black pawn at d6, black pawn at f6, white knight at g6 and black pawn at h6. Black pawn at a5, black knight at b5 and black pawn at c5. White pawn at c4, black pawn at d4, white pawn at f4 and white pawn at h4. White pawn at a3 and white pawn at b3. White queen at c2, white pawn at e2, white king at f2 and white pawn at g2. White rook at a1, white knight at b1, white bishop at c1, white bishop at f1 and white rook at g1. Black kingside is the only castle move available. Half move number is 1. Full move number is 23. White to move.","Input: The current state of the chess board is: Black queen at b8, black king at e8, black bishop at f8 and black rook at h8. Black bishop at b7 and black pawn at g7. Black rook at a6, black pawn at b6, black knight at c6, black pawn at d6, black pawn at f6, white knight at g6 and black pawn at h6. Black pawn at a5, black knight at b5 and black pawn at c5. White pawn at c4, black pawn at d4, white pawn at f4 and white pawn at h4. White pawn at a3 and white pawn at b3. White queen at c2, white pawn at e2, white king at f2 and white pawn at g2. White rook at a1, white knight at b1, white bishop at c1, white bishop at f1 and white rook at g1. Black kingside is the only castle move available. Half move number is 1. Full move number is 23. White to move. ; Output: Move from c4 to b5."
r1b1kbnr/pppqp1p1/n2p1p2/7p/2P3P1/PP5B/3PPP1P/RNBQK1NR w KQkq - 1 6,FEN state: r1b1kbnr/pppqp1p1/n2p1p2/7p/2P3P1/PP5B/3PPP1P/RNBQK1NR w KQkq - 1 6 ; Best moveg4g5,"The current state of the chess board is: Black rook at a8, black bishop at c8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black pawn at a7, black pawn at b7, black pawn at c7, black queen at d7, black pawn at e7 and black pawn at g7. Black knight at a6, black pawn at d6 and black pawn at f6. Black pawn at h5. White pawn at c4 and white pawn at g4. White pawn at a3, white pawn at b3 and white bishop at h3. White pawn at d2, white pawn at e2, white pawn at f2 and white pawn at h2. White rook at a1, white knight at b1, white bishop at c1, white queen at d1, white king at e1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 1. Full move number is 6. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black pawn at a7, black pawn at b7, black pawn at c7, black queen at d7, black pawn at e7 and black pawn at g7. Black knight at a6, black pawn at d6 and black pawn at f6. Black pawn at h5. White pawn at c4 and white pawn at g4. White pawn at a3, white pawn at b3 and white bishop at h3. White pawn at d2, white pawn at e2, white pawn at f2 and white pawn at h2. White rook at a1, white knight at b1, white bishop at c1, white queen at d1, white king at e1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 1. Full move number is 6. White to move. ; Output: Move from g4 to g5."
1nb1kbr1/3p1pp1/rpp1p2p/p1Q5/P3Pn1q/1R6/1PPP2PP/1NBR2K1 w - - 0 17,FEN state: 1nb1kbr1/3p1pp1/rpp1p2p/p1Q5/P3Pn1q/1R6/1PPP2PP/1NBR2K1 w - - 0 17 ; Best movec5c4,"The current state of the chess board is: Black knight at b8, black bishop at c8, black king at e8, black bishop at f8 and black rook at g8. Black pawn at d7, black pawn at f7 and black pawn at g7. Black rook at a6, black pawn at b6, black pawn at c6, black pawn at e6 and black pawn at h6. Black pawn at a5 and white queen at c5. White pawn at a4, white pawn at e4, black knight at f4 and black queen at h4. White rook at b3. White pawn at b2, white pawn at c2, white pawn at d2, white pawn at g2 and white pawn at h2. White knight at b1, white bishop at c1, white rook at d1 and white king at g1. Both players have exhausted their castles. Half move number is 0. Full move number is 17. White to move.","Input: The current state of the chess board is: Black knight at b8, black bishop at c8, black king at e8, black bishop at f8 and black rook at g8. Black pawn at d7, black pawn at f7 and black pawn at g7. Black rook at a6, black pawn at b6, black pawn at c6, black pawn at e6 and black pawn at h6. Black pawn at a5 and white queen at c5. White pawn at a4, white pawn at e4, black knight at f4 and black queen at h4. White rook at b3. White pawn at b2, white pawn at c2, white pawn at d2, white pawn at g2 and white pawn at h2. White knight at b1, white bishop at c1, white rook at d1 and white king at g1. Both players have exhausted their castles. Half move number is 0. Full move number is 17. White to move. ; Output: Move from c5 to c4."
r1bq1b2/1pk1p2r/p2p3p/n1p5/P1P2Qp1/1P2P2P/N2PP3/RNBK1BR1 w - - 0 20,FEN state: r1bq1b2/1pk1p2r/p2p3p/n1p5/P1P2Qp1/1P2P2P/N2PP3/RNBK1BR1 w - - 0 20 ; Best moveb1c3,"The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8 and black bishop at f8. Black pawn at b7, black king at c7, black pawn at e7 and black rook at h7. Black pawn at a6, black pawn at d6 and black pawn at h6. Black knight at a5 and black pawn at c5. White pawn at a4, white pawn at c4, white queen at f4 and black pawn at g4. White pawn at b3, white pawn at e3 and white pawn at h3. White knight at a2, white pawn at d2 and white pawn at e2. White rook at a1, white knight at b1, white bishop at c1, white king at d1, white bishop at f1 and white rook at g1. Both players have exhausted their castles. Half move number is 0. Full move number is 20. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8 and black bishop at f8. Black pawn at b7, black king at c7, black pawn at e7 and black rook at h7. Black pawn at a6, black pawn at d6 and black pawn at h6. Black knight at a5 and black pawn at c5. White pawn at a4, white pawn at c4, white queen at f4 and black pawn at g4. White pawn at b3, white pawn at e3 and white pawn at h3. White knight at a2, white pawn at d2 and white pawn at e2. White rook at a1, white knight at b1, white bishop at c1, white king at d1, white bishop at f1 and white rook at g1. Both players have exhausted their castles. Half move number is 0. Full move number is 20. White to move. ; Output: Move from b1 to c3."
1rb5/p1k2n1r/np1p3b/1qp1pppp/P1P4P/QR1PPPPN/1P5R/2B1KB2 w - - 4 22,FEN state: 1rb5/p1k2n1r/np1p3b/1qp1pppp/P1P4P/QR1PPPPN/1P5R/2B1KB2 w - - 4 22 ; Best movec4b5,"The current state of the chess board is: Black rook at b8 and black bishop at c8. Black pawn at a7, black king at c7, black knight at f7 and black rook at h7. Black knight at a6, black pawn at b6, black pawn at d6 and black bishop at h6. Black queen at b5, black pawn at c5, black pawn at e5, black pawn at f5, black pawn at g5 and black pawn at h5. White pawn at a4, white pawn at c4 and white pawn at h4. White queen at a3, white rook at b3, white pawn at d3, white pawn at e3, white pawn at f3, white pawn at g3 and white knight at h3. White pawn at b2 and white rook at h2. White bishop at c1, white king at e1 and white bishop at f1. Both players have exhausted their castles. Half move number is 4. Full move number is 22. White to move.","Input: The current state of the chess board is: Black rook at b8 and black bishop at c8. Black pawn at a7, black king at c7, black knight at f7 and black rook at h7. Black knight at a6, black pawn at b6, black pawn at d6 and black bishop at h6. Black queen at b5, black pawn at c5, black pawn at e5, black pawn at f5, black pawn at g5 and black pawn at h5. White pawn at a4, white pawn at c4 and white pawn at h4. White queen at a3, white rook at b3, white pawn at d3, white pawn at e3, white pawn at f3, white pawn at g3 and white knight at h3. White pawn at b2 and white rook at h2. White bishop at c1, white king at e1 and white bishop at f1. Both players have exhausted their castles. Half move number is 4. Full move number is 22. White to move. ; Output: Move from c4 to b5."
