Row Number,FEN,Move
2,rnbqkb1r/pp1ppp2/5npp/3P4/1Pp4P/P7/2PKPPP1/RNBQ1BNR b kq - 0 6,c4d3
4,r1b1qk2/1ppp1pp1/n3r3/p2P4/P1PQpPnp/bP5P/R3P1P1/BN1K1BN1 b - - 7 21,e4d3
10,rnq3k1/1b5p/p1ppp2b/1p5r/8/NP2PK1P/P1PPB1P1/R1BQ2NR w - - 0 20,e3f2
11,r2qkbn1/1pp3pr/p2p1p2/3Pp2p/P1P1PP1P/5B1Q/2PN1KP1/R1B3R1 b - - 2 20,h5g4
13,r5nr/6k1/n1p2ppp/1pP5/p4Pb1/P3P1PN/RPP1K1BP/2B2N1R w - - 2 25,h3g5
14,rn2kb1r/1b1pqp2/p1p2n1p/Bp2p3/6PP/P1PP4/1P1QPP2/RN2KBNR w KQkq - 3 12,d2d4
17,1n1r2nr/4kp2/2qNp1pp/2P2bb1/p1P2B2/1P1Q1PPN/PR2K2P/5BR1 b - - 2 24,g5d8
24,1nb1k2r/r1pp1pp1/1p1Pq2p/p5B1/2P2P1P/Q7/PP2PKP1/RN3BNR w k - 3 13,g5e3
28,1n1N2nr/6kp/r6Q/4p3/4bP1b/P4P1P/1P1P3R/RNBK1B2 b - - 2 24,h8h6
29,1nq2bkr/rb1p2pp/p1p2p1n/1p2p3/P2PPP1P/1PP3P1/4B3/RNBQK1NR w KQ - 1 15,e4e5
37,r1bqk2r/p2p2bp/1p2n1pn/1Pp5/PQP1PPPP/5P2/1B6/RN1K1BNR b kq - 0 21,e6c5
38,r1qk2nr/pp2p2p/n1p2ppb/5b1P/3Pp3/2Q1K2N/PPP2PP1/RNB2BR1 w - - 2 13,c3e5
39,1nbqkbnr/rpp1p2p/p7/3p1pp1/1P1P4/P4P2/2P1P1PP/RNBQKBNR w KQk - 1 7,d4c5
40,r3k1nr/pp3pp1/n1p1p2p/3q4/P4PP1/3PbB1b/1PP1K2P/RNBQ2NR b kq - 4 12,d5c6
